Batch,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip,Condition
1,70,67,90,9,0,28,0,0
2,69,66,90,6,0,28,0,0
3,68,66,93,3,0,28,0,0
4,68,66,93,3,0,28,0,0
5,68,65,90,3,0,28,0,0
6,67,65,93,7,0,28,0,0
7,68,65,90,5,0,28,0,0
8,69,65,87,6,0,28,0,1
9,72,65,78,5,0,28,0,1
10,76,62,62,5,0,28,0,1
11,79,63,58,7,0,28,0,1
12,81,61,50,10,0,28,0,1
13,83,60,46,12,0,28,0,1
14,84,59,43,10,0,28,0,1
15,84,63,49,10,0,28,0,1
16,85,62,46,14,0,28,0,1
17,85,63,48,10,0,28,0,1
