Time,M_Accum,M_Hode,M_Trans,W_PH,W_TEMPC,W_ECppm500,A_CO2ppm,A_TEMPC,A_RH,L_r,L_b,L_w
06-Oct-2022 00:00:00,NaN,NaN,NaN,6.5,0,757.142857142857,NaN,NaN,NaN,0,0,0
06-Oct-2022 00:00:00,NaN,NaN,NaN,6.5,0,757.142857142857,NaN,NaN,NaN,18.3765182186235,2.70242914979757,4.59412955465587
06-Oct-2022 00:00:00,NaN,NaN,NaN,6.5,0,764.285714285714,NaN,NaN,NaN,0,0,0
06-Oct-2022 00:00:00,NaN,NaN,NaN,6.5,0,764.285714285714,NaN,NaN,NaN,18.3765182186235,2.70242914979757,4.59412955465587
06-Oct-2022 01:00:00,1.47404599307106,NaN,NaN,6.5,0,757.142857142857,516.4,16.1111111111111,71,0,0,0
06-Oct-2022 01:00:00,1.47404599307106,NaN,NaN,6.5,0,764.285714285714,516.4,16.1111111111111,71,0,0,0
06-Oct-2022 02:00:00,1.40665137197699,NaN,NaN,6.5,0,757.142857142857,518.8,16.1111111111111,71,0,0,0
06-Oct-2022 02:00:00,1.40665137197699,NaN,NaN,6.5,0,764.285714285714,518.8,16.1111111111111,71,0,0,0
06-Oct-2022 03:00:00,1.33925675088291,8.50946489293899,-1.43885190185111,6.5,0,757.142857142857,530,16.1111111111111,71,0,0,0
06-Oct-2022 03:00:00,1.33925675088291,8.50946489293899,-1.43885190185111,6.5,0,764.285714285714,530,16.1111111111111,71,0,0,0
06-Oct-2022 04:00:00,1.27186212978884,8.39677403323213,-1.4005035337299,6.5,0,757.142857142857,537.8,16.1111111111111,71,0,0,0
06-Oct-2022 04:00:00,1.27186212978884,8.39677403323213,-1.4005035337299,6.5,0,764.285714285714,537.8,16.1111111111111,71,0,0,0
06-Oct-2022 05:00:00,1.20446750869477,8.28408317352526,-1.3621551656087,6.5,0,757.142857142857,549.4,16.1111111111111,71,0,0,0
06-Oct-2022 05:00:00,1.20446750869477,8.28408317352526,-1.3621551656087,6.5,0,764.285714285714,549.4,16.1111111111111,71,0,0,0
06-Oct-2022 06:00:00,1.13707288760069,8.1713923138184,-1.32380679748749,6.5,0,757.142857142857,558.2,16.1111111111111,71,0,0,0
06-Oct-2022 06:00:00,1.13707288760069,8.1713923138184,-1.32380679748749,6.5,0,764.285714285714,558.2,16.1111111111111,71,0,0,0
06-Oct-2022 07:00:00,1.06967826650662,8.05870145411154,-1.28545842936629,6.5,0,757.142857142857,558.2,16.1111111111111,71,18.3765182186235,1.62145748987854,3.24291497975709
